,,,,,,,,,,,,,delivery,,,,eval points,,,,,
UUID,-C/S,,Categories and Outcomes,,,,,,,taxonomy (K S H),importance (C I E),,reading,lecture,exercise,,quiz,code review,test,project review,tech interview,self-eval
bb75e131-8d86-494d-a427-826c66f6be53,C,,PROGRAMMING FUNDAMENTALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
f912149f-a74b-481e-8fad-4f322e30257d,S,,,programming paradigms,,,,,,,,,0,0,0,,0,0,,0,0,
27df5060-3549-498e-842e-c30f6ad88390,,,,can explain: non-structured vs procedural vs oop vs functional,,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
184f16af-1926-4362-a9fb-4bbf9e90b3e0,,,,can explain: imperative vs. declarative,,,,,,knowledge,ideal,,1,0,0,,0,0,,0,0,
95ab0851-3141-4a8a-9fcb-8e5b6ed1b58c,,,,"can give examples of imperative vs. declarative (imperative: SQL, Regex, declarative: JS, Ruby)",,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
185ea2b5-455d-4fa2-a221-cd5fb5cc4af1,,,,"can explain various approaches to declarative programming: constraint programming, logic programming, dataflow programming",,,,,,knowledge,extra,,0,0,0,,0,0,,0,0,
41a9598c-f450-4d32-b209-ded507637d6b,,,,can identify the paradigm that a piece of code is written in,,,,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
5901a263-76fa-4a59-ade3-7dbfaae998aa,,,,,non-structured programming,,,,,,,,0,0,0,,0,0,,0,0,
bcf41a6a-9233-44f9-954d-71e3ddcba574,,,,,can list common reserved words in their language,,,,,knowledge,core,,1,1,0,,1,0,,0,1,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,logging,,,,,,,,,,,,,,,,
91070c04-7898-46fe-9df6-7b7fc9a5a955,,,,,,"understands the difference between: (A) a statement returning a value, and (B) logging a value to the console",,,,knowledge,core,,,,,,,,,,,
5f66ee62-ea91-4697-917e-4abb014554d9,,,,,,can print a value to the console,,,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
,,,,,,comments,,,,,,,,,,,,,,,,
1d80c12a-c291-48aa-b3d8-231f47a5096b,,,,,,"can explain what ""comments"" are and why they are used",,,,knowledge,core,,,,,,,,,,,
0206b4c3-0889-4c51-89db-9fe6879fd228,,,,,,can create single line comments,,,,skill,core,,,,,,,,,,,
aefdc33d-5153-4e80-8e02-ba9740c831c4,,,,,,can create block comments,,,,skill,core,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6462c04a-0ae8-4dc6-8fc6-8de602f5629d,S,,,,,fundamental programming primitives,,,,,,,0,0,0,,0,0,,0,0,
0487c1d6-4a61-4340-b840-5b4ae87f5d3d,,,,,,can explain difference between destructive and non-destructive operations,,,,knowledge,core,,1,1,0,,1,0,,0,1,
7230cfd0-1069-45dc-a5d4-8d7ebfdcebe0,,,,,,can explain when to use destructive vs. non-destructive operations,,,,knowledge,extra,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
14e71cef-d076-455e-9ad5-18858c32d241,,,,,,,variables,,,,,,0,0,0,,0,0,,0,0,
d01f8c63-cb3e-4691-a6bc-266796a3ea87,,,,,,,"can explain the difference between ""declaring"" and ""defining"" a variable",,,knowledge,core,,,,,,,,,,,
69b5589c-b8f5-4536-8186-40de10a4b40a,,,,,,,can define/assign variables,,,skill,core,,0,0,1,,0,1,,1,0,
c12d44c2-c848-4a96-b41b-222e46e4c07e,,,,,,,can update the value of an existing variable,,,skill,core,,0,0,1,,0,1,,1,0,
5c0fc726-a09b-4001-810a-e15b78e88964,,,,,,,constants,,,,,,0,0,0,,0,0,,0,0,
69a603e4-e6b0-4f96-8a65-a084cf672186,,,,,,,TODO,,,,,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
7c305f58-3315-4410-8e10-25b74dbe92dc,,,,,,,"data types (keyword, symbol, nil)",,,,,,0,0,0,,0,0,,0,0,
353a8c2c-ee77-42f8-8def-cb6be3491bfd,,,,,,,can list the primitive datatypes in their language,,,knowledge,core,,1,1,0,,1,0,,0,1,
e3805944-305a-447a-857d-25f5e498c8d7,,,,,,,can differentiate between primitive values and object pointers,,,knowledge,core,,1,1,0,,1,0,,0,1,
932dc0ab-79a8-46d1-9acf-83fd362e8044,,,,,,,"can explain what ""nil"" is and why it is used",,,knowledge,core,,,,,,,,,,,
e865db0d-25c8-4c4e-872c-c5d065a07bf5,,,,,,,"can explain what is meant by ""mutable"" and ""immutable""",,,knowledge,core,,,,,,,,,,,
1f6b197a-9532-4a75-a0ce-8191e87c6b84,,,,,,,can identify which types are mutable and which are immutable,,,knowledge,core,,,,,,,,,,,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
c8f7e57d-9fae-4fc2-9dd3-9f636e914c7b,,,,,,,,"numbers (integer, float/double/decimal)",,,,,0,0,0,,0,0,,0,0,
43f47488-eedd-4cfd-97cc-0285b968869c,,,,,,,,can list and explain the available number types in their language,,knowledge,core,,1,1,0,,1,0,,0,1,
a9016d75-c2ce-4cef-8c2f-3017318425b1,,,,,,,,can explain the difference between an integer and a float,,knowledge,core,,,,,,,,,,,
6d04fb30-9184-44f4-a4d1-51998d1bdb5d,,,,,,,,can create integers and floats,,skill,core,,,,,,,,,,,
c665cbb9-b722-4a95-b3d3-90e8935250a2,,,,,,,,"can perform basic arithmetic on numbers (+, -, /, *, %)",,skill,core,,0,0,1,,0,1,,1,0,
914de14a-c1c6-4c8e-981b-70642842a3ba,,,,,,,,"can list available number manipulation functions and their purpose (ex. floor, ceil)",,knowledge,core,,1,1,0,,1,0,,0,1,
6c0ded1d-cf0f-46e2-9a48-ff6e74d00dc9,,,,,,,,can round a number,,skill,core,,,,,,,,,,,
4721d07d-a1d1-4caa-9853-a386fa3080c9,,,,,,,,can convert a number into a string,,skill,core,,,,,,,,,,,
02cbdb28-5006-49d9-888b-8a9d740a942b,,,,,,,,can check if a number is even or odd,,skill,core,,,,,,,,,,,
f81cbfc3-2b9a-4e53-af3d-81c8120002e5,,,,,,,,can explain then difference between integer and float,,knowledge,core,,1,1,0,,1,0,,0,1,
bc6060d6-130b-4fb9-b2ec-654390ed0f28,,,,,,,,can explain the quirks for floating point arithmetic and why they occur,,knowledge,ideal,,1,0,0,,0,0,,0,0,
c04d6919-83dc-4bb6-966a-5b6f68179611,,,,,,,,avoids writing code susceptible to floating point errors,,habit,ideal,,0,0,0,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
6ae4f018-92a3-4543-bd35-4c8ec6643f83,,,,,,,,strings,,,,,0,0,0,,0,0,,0,0,
df38dce5-d442-4ecb-af39-75536907ad00,,,,,,,,can create strings,,skill,core,,,,,,,,,,,
f7355583-424f-40ad-85ed-fbee6694c38e,,,,,,,,can get the length of a string,,skill,core,,,,,,,,,,,
a47c2d15-1a32-4f97-9574-dd37e1c5781b,,,,,,,,can concatenate strings,,skill,core,,0,0,1,,0,1,,1,0,
1a06ec63-13a4-4c5a-b21e-8f14eaa1a5cc,,,,,,,,can explain why escaping of characters is necessary,,knowledge,core,,1,1,0,,1,0,,0,1,
7a7bd882-b60d-478d-8a14-fada664c3c38,,,,,,,,can escape characters inside of a string,,skill,core,,0,0,1,,0,1,,1,0,
dd01be53-69d0-4b1e-8228-08659f4a4e03,,,,,,,,can list common special characters (\n \t) and their function,,knowledge,core,,,,,,,,,,,
d10564b1-acee-4e8a-8d56-f042e90aa652,,,,,,,,can replace a subset of a string,,skill,core,,,,,,,,,,,
f5231885-ad02-4405-bbf0-a204cf161e2b,,,,,,,,"can list available string manipulation functions and their purpose (ex. split, toUpperCase)",,knowledge,core,,1,1,0,,1,0,,0,1,
23e021ea-c827-45f3-8077-fca3e947116d,,,,,,,,can convert a string into a number,,skill,core,,0,0,1,,0,1,,1,0,
,,,,,,,,,,,,,0,0,0,,0,0,,0,0,
b2a1e41d-ae3c-496d-b417-33e0bb1b3ff1,,,,,,,,booleans,,,,,0,0,0,,0,0,,0,0,
47943ada-3424-4293-b33b-373f9cbef948,,,,,,,,can create a true and a false boolean,,,,,,,,,,,,,,
9771836b-6345-4e9f-86e6-59d20aa005a9,,,,,,,,can apply demorgans law,,skill,extra,,0,0,0,,0,0,,0,0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"logical operators (and, or, not)",,,,,,,,,,,,,
01052bcb-78d2-46ab-8aa9-6dd6497066f4,,,,,,,,,can list common logical operators and what they do,knowledge,core,,,,,,,,,,,
f8fff83e-f5cd-46d7-a8df-31d132de31dc,,,,,,,,,understands the short-circuiting behaviour of AND and OR,knowledge,core,,1,1,0,,1,0,,0,1,
0b0999a8-a16a-48c4-bb50-c9433ab95bc5,,,,,,,,,can use common logical operators,knowledge,core,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"comparison operators (==, !=, >, <, <=, >=)",,,,,,,,,,,,,
